generation,pathfinder_fitness,num_food
112,41.309649,0
113,735.683155,0
114,611.825164,0
115,645.600099,0
116,622.173067,0
117,251.936196,0
118,144.957312,0
119,46.858276,0
120,631.692958,0
121,763.805977,0
122,125.139292,0
123,648.289626,0
124,874.139372,0
125,840.915561,0
126,322.484098,0
127,607.719441,0
128,812.496738,0
129,535.232065,0
130,646.049047,0
131,888.686369,1
132,90.559437,0
133,724.957829,0
134,1048.786253,1
135,77.479427,0
136,503.772098,0
137,337.910280,0
138,869.878430,0
139,683.827667,0
140,725.435584,0
141,274.525457,0
142,588.651540,0
143,693.177694,0
144,842.355768,0
145,543.414398,0
146,532.684290,0
147,753.687533,0
148,440.736512,0
149,47.717144,0
150,508.782133,0
151,676.090151,0
152,688.763277,0
153,702.313577,0
154,597.859951,0
155,61.009498,0
156,832.007423,0
157,485.841620,0
158,927.399325,0
159,606.908007,0
160,577.681808,0
161,781.681679,0
162,59.003605,0
163,532.047677,0
164,614.921147,0
165,662.386451,0
166,57.632632,0
167,1042.605366,0
168,623.568155,0
169,44.664508,0
170,165.664708,0
171,549.078503,0
172,75.464942,0
173,53.819453,0
174,586.213941,0
175,793.926513,0
176,233.631540,0
177,758.369049,0
178,682.528819,0
179,862.398854,1
180,179.181605,0
181,667.659030,0
182,277.233252,0
183,583.770660,0
184,41.474915,0
185,802.716950,0
186,170.007013,0
187,607.446212,0
188,581.463375,0
189,868.780843,0
190,568.297821,0
191,39.912426,0
192,483.021408,0
193,390.048692,0
194,799.990566,0
195,641.907381,0
196,137.901824,0
197,45.438477,0
198,355.616114,0
199,574.135379,0
200,25.430817,0
201,204.481153,0
202,421.513058,0
203,89.114197,0
204,596.814037,0
205,643.034958,0
206,609.942478,0
207,184.337031,0
208,105.065902,0
209,533.627535,0
210,759.941938,0
211,111.838628,0
212,440.375901,0
213,847.275744,0
214,741.643357,0
215,515.158783,0
216,719.244247,0
217,430.348349,0
218,700.359532,0
219,489.768284,0
220,500.603300,0
221,557.248340,0
222,457.115446,0
223,595.596162,0
224,52.157038,0
225,507.535345,0
226,93.508214,0
227,297.054791,0
228,510.845620,1
229,798.742647,0
230,394.380913,0
231,774.589422,0
232,728.229994,0
233,595.947183,0
234,618.567929,0
235,74.752776,0
236,1035.002809,1
237,625.195726,0
238,84.296733,0
239,550.919911,0
240,284.545028,0
241,45.281999,0
242,43.162551,0
243,617.835969,0
244,479.933994,0
245,48.186824,0
246,91.111345,0
247,43.168667,0
248,508.912896,0
249,968.712206,1
250,862.889742,0
251,434.792191,0
252,621.076014,0
253,83.370569,0
254,327.529725,0
255,738.768166,0
256,86.528657,0
257,655.415023,0
258,840.040306,0
259,667.677045,0
260,759.675835,0
261,916.831099,1
262,381.287152,0
263,494.950720,0
264,331.542626,0
265,646.838252,0
266,594.458733,0
267,112.786565,0
268,380.171582,0
269,395.762474,0
270,90.703368,0
271,442.270125,0
272,512.776617,0
273,663.270605,0
274,503.550132,0
275,60.019392,0
276,750.171470,0
277,210.960824,0
278,927.207445,1
279,666.932696,0
280,409.650759,0
281,585.925234,0
282,190.959212,0
283,586.013954,0
284,436.424676,0
285,85.921959,0
286,739.412228,0
287,560.140767,0
288,108.727020,0
289,803.346792,0
290,614.097619,0
291,510.725988,0
292,720.110190,1
293,105.617006,0
294,550.427591,0
295,35.618178,0
296,413.122322,0
297,614.579158,0
298,300.538449,0
299,426.351355,0
300,498.160463,0
301,749.300318,0
302,41.858157,0
303,679.225356,0
304,122.806700,0
305,791.227112,0
306,525.918534,0
307,38.263634,0
308,580.873091,0
309,615.273374,0
310,315.252253,0
311,646.616491,0
312,482.706195,0
313,568.969463,0
314,591.360910,0
315,77.128803,0
316,45.727759,0
317,91.572751,0
318,619.949620,0
319,728.181739,0
320,538.096255,0
321,996.864224,0
322,591.760695,0
323,748.648233,0
324,85.211955,0
325,402.716288,0
326,805.283367,0
327,584.409130,0
328,766.201276,0
329,584.069884,0
330,628.310254,0
331,760.720029,0
332,826.842948,0
333,89.803853,0
334,799.324133,0
335,295.157363,0
336,511.734625,0
337,741.116580,0
338,37.696234,0
339,849.215228,0
340,636.489043,0
341,83.325371,0
342,927.591712,0
343,452.059641,0
344,677.345356,0
345,423.062867,0
346,656.397230,1
347,540.036926,0
348,204.683871,0
349,948.301613,1
350,717.014926,0
351,596.392832,0
352,201.953813,0
353,507.157206,0
354,599.185255,0
355,320.701066,0
356,676.724090,1
357,443.244702,0
358,587.457743,0
359,301.353701,0
360,829.094466,0
361,1102.187400,1
362,46.752935,0
363,544.760725,0
364,650.832940,0
365,496.519792,0
366,503.764047,0
367,636.182292,0
368,161.074836,0
369,566.736881,0
370,1111.192473,1
371,62.198362,0
372,330.054601,0
373,253.148204,0
374,519.411034,1
375,588.499521,0
376,614.154221,0
377,568.538931,0
378,810.580402,1
379,417.595244,0
380,269.354844,0
381,771.619157,0
382,533.792967,0
383,680.822932,0
384,441.822361,0
385,546.578524,0
386,832.062779,0
387,441.942305,0
388,746.405746,0
389,186.505673,0
390,42.505349,0
391,183.270704,0
392,549.674757,0
393,318.699680,0
394,741.609798,0
395,772.493353,1
